area,rot-agree,rot-categorization,rot-moral-foundations,rot-judgment,action,action-moral-judgment,action-legal,label,action_ukr,action_ukr_spivavtor,action_ukr_s_gec
confessions,4.0,morality-ethics,care-harm,You shouldn't,taking advantage of naive young people,-1.0,legal,0,використання наївних молодих людей,Використання наївних молодих людей,Використання наївних молодих людей
amitheasshole,4.0,morality-ethics,care-harm,it's wrong,taking advantage of others.,-2.0,tolerated,0,використовуючи інших.,використовуючи інших.,використовуючи інших.
amitheasshole,4.0,morality-ethics,care-harm,shouldn't,taking advantage of people.,-2.0,legal,0,використовуючи людей.,використовуючи людей.,використовуючи людей.
amitheasshole,4.0,morality-ethics,care-harm,it's rude,taking advantage of someone for your benefit,-1.0,legal,0,використання когось для власної вигоди,використання когось для власної вигоди,використання когось для власної вигоди
confessions,4.0,morality-ethics,care-harm|authority-subversion,it's wrong,taking advantage of someone much younger than you.,-2.0,tolerated,0,"використовувати когось, хто набагато молодший за тебе.","Використовувати когось, хто набагато молодший за тебе.","Використовувати когось, хто набагато молодший за тебе."
dearabby,4.0,social-norms|advice,care-harm|loyalty-betrayal,shouldn't,taking advantage of your family members,-1.0,legal,0,використання членів вашої родини у своїх інтересах,Використання членів вашої родини у своїх інтересах,Використання членів вашої родини у своїх інтересах
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,shouldn't,taking advantage of your family.,-2.0,legal,0,використовуючи твою сім'ю.,використовуючи твою сім'ю.,використовуючи твою сім'ю.
rocstories,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's selfish,taking all of something and leave none for others.,-1.0,legal,0,забирати все і не залишати нічого для інших.,Забирати все і не залишати нічого для інших.,Забирати все і не залишати нічого для інших.
confessions,4.0,social-norms,care-harm|sanctity-degradation,It's encouraged,taking an active interest in personal hygiene.,1.0,legal,2,активно цікавляться особистою гігієною.,Активно цікавляться особистою гігієною.,Активно цікавляться особистою гігієною.
dearabby,4.0,advice,care-harm|loyalty-betrayal,It's good,taking an interest in others.,1.0,legal,2,цікавитися іншими.,Цілуватися іншими.,Цілуватися іншими.
dearabby,4.0,advice,care-harm|loyalty-betrayal,you should,taking an interest in your children's education.,0.0,legal,1,цікавитися освітою своїх дітей.,Цілуватися освітою своїх дітей.,Цілуватися освітою своїх дітей.
amitheasshole,4.0,morality-ethics,care-harm,It is bad,taking away someone's free will,-2.0,illegal,0,забираючи чиюсь свободу волі,Забираючи чиюсь свободу волі,Забираючи чиюсь свободу волі
dearabby,4.0,morality-ethics,care-harm|authority-subversion,it is wrong,taking away the rights of others.,-1.0,tolerated,0,забираючи права інших.,Забираючи права інших.,Забираючи права інших.
amitheasshole,4.0,morality-ethics,care-harm,should,taking better care of your family's pets.,1.0,legal,2,краще піклуватися про домашніх улюбленців.,краще піклуватися про домашніх улюбленців.,краще піклуватися про домашніх улюбленців.
rocstories,4.0,advice,care-harm,it's good,taking care and doing nice things for yourself.,1.0,legal,2,піклуватися і робити приємні речі для себе.,Піклуватися і робити приємні речі для себе.,Піклуватися і робити приємні речі для себе.
amitheasshole,4.0,morality-ethics,care-harm,It is kind,taking care of an animal who needs it.,1.0,legal,2,"піклування про тварину, яка цього потребує.","Піклування про тварину, яка цього потребує.","Піклування про тварину, яка цього потребує."
amitheasshole,4.0,advice,care-harm,shouldn't,taking care of children if you aren't going to watch them.,-1.0,legal,0,"піклуватися про дітей, якщо ви не збираєтеся за ними доглядати.","Піклуватися про дітей, якщо ви не збираєтеся за ними доглядати.","Піклуватися про дітей, якщо ви не збираєтеся за ними доглядати."
confessions,4.0,social-norms|advice,care-harm|loyalty-betrayal,people should,taking care of dying relatives even if they don't particularly like them.,0.0,legal,1,"піклування про помираючих родичів, навіть якщо вони їм не дуже подобаються.","Піклування про помираючих родичів, навіть якщо вони їм не дуже подобаються.","Піклування про помираючих родичів, навіть якщо вони їм не дуже подобаються."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,it's expected,taking care of family.,0.0,legal,1,піклуватися про сім'ю.,Піклуватися про сім'ю.,Піклуватися про сім'ю.
confessions,4.0,advice,care-harm,it's important,taking care of one's mental health.,2.0,legal,2,піклуватися про своє психічне здоров'я.,Піклуватися про своє психічне здоров'я.,Піклуватися про своє психічне здоров'я.
rocstories,4.0,social-norms|advice,care-harm|authority-subversion,It's expected,taking care of other peoples pets well while pet sitting,2.0,legal,2,добре доглядати за чужими домашніми тваринами під час роботи з ними,Під час роботи з ними добре доглядати за чужими домашніми тваринами,Під час роботи з ними добре доглядати за чужими домашніми тваринами
rocstories,4.0,morality-ethics,care-harm|loyalty-betrayal,good,taking care of others when they are sick.,1.0,legal,2,"піклуватися про інших, коли вони хворіють.","Піклуватися про інших, коли вони хворіють.","Піклуватися про інших, коли вони хворіють."
rocstories,4.0,morality-ethics,care-harm,It's honorable,taking care of pets that have been abandoned.,2.0,legal,2,"піклування про домашніх тварин, яких покинули.","Піклування про домашніх тварин, яких покинули.","Піклування про домашніх тварин, яких покинули."
amitheasshole,4.0,morality-ethics,care-harm,It is important,taking care of pets.,0.0,legal,1,догляд за домашніми тваринами.,Догляд за домашніми тваринами.,Догляд за домашніми тваринами.
amitheasshole,4.0,advice,care-harm,It is good,taking care of something that you see needs done,1.0,legal,2,"піклуватися про те, що, на вашу думку, потрібно зробити","піклуватися про те, що, на вашу думку, потрібно зробити","піклуватися про те, що, на вашу думку, потрібно зробити"
rocstories,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,people should,taking care of their pets.,1.0,legal,2,піклуються про своїх домашніх улюбленців.,Піклуються про своїх домашніх улюбленців.,Піклуються про своїх домашніх улюбленців.
rocstories,4.0,social-norms,care-harm,People should,taking care of their things,0.0,legal,1,піклуються про свої речі,Піклуються про свої речі,Піклуються про свої речі
rocstories,4.0,social-norms|description,care-harm,It's expected,taking care of your children,0.0,legal,1,піклування про ваших дітей,піклування про ваших дітей,піклування про ваших дітей
rocstories,4.0,morality-ethics,care-harm,it's expected,taking care of your children.,0.0,legal,1,піклуватися про своїх дітей.,Піклуватися про своїх дітей.,Піклуватися про своїх дітей.
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It is expected,taking care of your family.,0.0,legal,1,піклуватися про свою сім'ю.,Піклуватися про свою сім'ю.,Піклуватися про свою сім'ю.
rocstories,4.0,advice,care-harm,You should,taking care of your hand as soon as you can when you injure it,0.0,legal,1,"якнайшвидше подбати про руку, якщо ви її пошкодили","Якнайшвидше подбати про руку, якщо ви її пошкодили.","Якнайшвидше подбати про руку, якщо ви її пошкодили."
amitheasshole,4.0,advice,care-harm,should,taking care of your health.,0.0,legal,1,піклуючись про своє здоров'я.,Піклуючись про своє здоров'я.,Піклуючись про своє здоров'я.
rocstories,4.0,morality-ethics,care-harm,expected,taking care of your pets,0.0,legal,1,піклування про ваших домашніх улюбленців,піклування про ваших домашніх улюбленців,піклування про ваших домашніх улюбленців
rocstories,4.0,morality-ethics,care-harm,should,taking care of your pets so they don't get sick or injured.,0.0,legal,1,"піклуватися про своїх домашніх улюбленців, щоб вони не хворіли та не травмувалися.","Піклуватися про своїх домашніх улюбленців, щоб вони не хворіли та не травмувалися.","Піклуватися про своїх домашніх улюбленців, щоб вони не хворіли та не травмувалися."
rocstories,4.0,morality-ethics|social-norms,care-harm,People are expected,taking care of your pets.,0.0,legal,1,піклуватися про своїх домашніх улюбленців.,Піклуватися про своїх домашніх улюбленців.,Піклуватися про своїх домашніх улюбленців.
dearabby,4.0,morality-ethics|social-norms|advice,care-harm|authority-subversion,It's good,taking care of your shareholders.,0.0,legal,1,піклуватися про своїх акціонерів.,Піклуватися про своїх акціонерів.,Піклуватися про своїх акціонерів.
dearabby,4.0,advice,care-harm,It's good,taking care of your teeth,1.0,legal,2,піклування про зуби,Піклування про зуби,Піклування про зуби
confessions,4.0,advice|description,care-harm|sanctity-degradation,You should,taking care of your teeth so you don't get cavities.,1.0,legal,2,"доглядати за зубами, щоб у вас не з'явився карієс.","Доглядати за зубами, щоб у вас не з'явився карієс.","Доглядати за зубами, щоб у вас не з'явився карієс."
rocstories,4.0,social-norms|advice,care-harm|fairness-cheating,You,taking care of your things.,0.0,legal,1,подбати про твої речі.,Подбати про твої речі.,Подбати про твої речі.
confessions,4.0,advice,care-harm,should,taking care of yourself,1.0,legal,2,піклування про себе,піклування про себе,піклування про себе
amitheasshole,4.0,social-norms|advice,care-harm|fairness-cheating,it's good,taking care of yourself by protecting your possessions and resources.,2.0,legal,2,"дбати про себе, захищаючи своє майно та ресурси.","Дбати про себе, захищаючи своє майно та ресурси.","Дбати про себе, захищаючи своє майно та ресурси."
amitheasshole,4.0,social-norms|description,care-harm,It's okay,taking care of yourself.,0.0,legal,1,піклуватися про себе.,Піклуватися про себе.,Піклуватися про себе.
rocstories,4.0,advice,care-harm,It's good,taking charge of your health.,1.0,legal,2,піклуватися про своє здоров'я.,Піклуватися про своє здоров'я.,Піклуватися про своє здоров'я.
dearabby,4.0,advice,care-harm,it's bad,taking drugs that can harm your health.,-1.0,tolerated,0,"приймати ліки, які можуть зашкодити вашому здоров'ю.","Приймаючи ліки, які можуть зашкодити вашому здоров'ю.","Приймаючи ліки, які можуть зашкодити вашому здоров'ю."
confessions,4.0,advice,care-harm,it's okay,taking each day as it comes,0.0,legal,1,"приймати кожен день таким, яким він є","Приймаючи кожен день таким, яким він є","Приймаючи кожен день таким, яким він є"
amitheasshole,4.0,morality-ethics|social-norms,care-harm|authority-subversion,You should,taking full responsibility for your pet.,0.0,legal,1,нести повну відповідальність за вашого улюбленця.,Нехай ваш улюбленець несе повну відповідальність за вас.,Нехай ваш улюбленець несе повну відповідальність за вас.
rocstories,4.0,social-norms,care-harm,it's expected,taking good care of a child you adopt,0.0,legal,1,"піклуватися про дитину, яку ви всиновили","піклуватися про дитину, яку ви всиновили","піклуватися про дитину, яку ви всиновили"
confessions,4.0,morality-ethics,care-harm,It's expected,taking good care of your siblings children,0.0,legal,1,піклуватися про дітей своїх братів і сестер,піклуватися про дітей своїх братів і сестер,піклуватися про дітей своїх братів і сестер
confessions,4.0,advice,care-harm,it's okay,taking however much time you need to get over someone's death.,0.0,legal,1,"не потрібно стільки часу, скільки потрібно для того, щоб пережити чиюсь смерть.","Не потрібно стільки часу, скільки потрібно для того, щоб пережити чиюсь смерть.","Не потрібно стільки часу, скільки потрібно для того, щоб пережити чиюсь смерть."
confessions,4.0,morality-ethics,care-harm|authority-subversion,It's wrong,taking illegal drugs,-1.0,illegal,0,вживання нелегальних наркотиків,Вживання нелегальних наркотиків,Вживання нелегальних наркотиків
rocstories,4.0,morality-ethics,care-harm,It's kind,taking in a stray animal.,1.0,legal,2,прихистити безпритульну тварину.,Прихистити безпритульну тварину.,Прихистити безпритульну тварину.
dearabby,4.0,social-norms,care-harm,expected,taking into consideration the dietary needs of other people,0.0,legal,1,врахування дієтичних потреб інших людей,Врахування дієтичних потреб інших людей,Врахування дієтичних потреб інших людей
amitheasshole,4.0,advice,care-harm,It's OK,taking measures to prevent yourself from getting sick.,0.0,legal,1,"вживати заходів для того, щоб не захворіти.","Вживати заходів для того, щоб не захворіти.","Вживати заходів для того, щоб не захворіти."
dearabby,4.0,advice,care-harm,it is okay,taking medicine.,0.0,legal,1,приймав ліки.,Приймаючи ліки.,Приймаючи ліки.
rocstories,4.0,morality-ethics|advice,care-harm,It's good,taking more responsibility,1.0,legal,2,брати на себе більше відповідальності,брати на себе більше відповідальності,брати на себе більше відповідальності
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,it's polite,taking part in the lives of your significant others' family.,1.0,legal,2,брати участь у житті сім'ї ваших близьких.,брати участь у житті сім'ї ваших близьких.,брати участь у житті сім'ї ваших близьких.
confessions,4.0,morality-ethics|social-norms,care-harm,It's mean,taking pleasure in someone else's death.,-1.0,legal,0,насолоджуватися чиєюсь смертю.,Насолодитися чиєюсь смертю.,Насолодитися чиєюсь смертю.
confessions,4.0,morality-ethics,care-harm,It's immoral,taking pleasure in the misfortunes of others.,-2.0,legal,0,отримувати задоволення від нещасть інших.,отримувати задоволення від нещасть інших.,отримувати задоволення від нещасть інших.
confessions,4.0,advice,care-harm,It is important,taking pregnancy seriously.,1.0,legal,2,серйозно ставитися до вагітності.,Серйозно ставитися до вагітності.,Серйозно ставитися до вагітності.
amitheasshole,4.0,morality-ethics,care-harm,expected,taking proper care of a pet you have been put in charge of.,0.0,legal,1,"правильно доглядати за домашнім улюбленцем, за якого вам довірили.","Правильно доглядати за домашнім улюбленцем, за якого вам довірили.","Правильно доглядати за домашнім улюбленцем, за якого вам довірили."
confessions,4.0,morality-ethics,care-harm,expected,taking proper care of your pets,0.0,legal,1,належним чином піклуватися про своїх домашніх улюбленців,Належним чином піклуватися про своїх домашніх улюбленців,Належним чином піклуватися про своїх домашніх улюбленців
rocstories,4.0,social-norms,care-harm,It's good,taking public transportation sometimes to save gas and the environment.,1.0,legal,2,"іноді користуватися громадським транспортом, щоб заощадити бензин і зберегти довкілля.","Іноді користуватися громадським транспортом, щоб заощадити бензин і зберегти довкілля.","Іноді користуватися громадським транспортом, щоб заощадити бензин і зберегти довкілля."
amitheasshole,4.0,morality-ethics,care-harm,It is important to,taking responsibility for children.,2.0,legal,2,брати на себе відповідальність за дітей.,брати на себе відповідальність за дітей.,брати на себе відповідальність за дітей.
dearabby,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,you shouldn't,taking risks with the welfare of your children.,-1.0,legal,0,ризикувати благополуччям своїх дітей.,Ризикувати благополуччям своїх дітей.,Ризикувати благополуччям своїх дітей.
rocstories,4.0,advice,care-harm,you should,taking some pain medication when you have a headache,1.0,legal,2,приймати знеболюючі препарати при головному болю,При головному болю приймати знеболюючі препарати,При головному болю приймати знеболюючі препарати
rocstories,4.0,social-norms,care-harm,It's polite,taking someone to dinner after they've done you a favor.,1.0,legal,2,"запросити когось на вечерю після того, як він зробив тобі послугу.","Запросити когось на вечерю після того, як він зробив тобі послугу.","Запросити когось на вечерю після того, як він зробив тобі послугу."
amitheasshole,4.0,description,care-harm,is normal,taking someone to the hospital if they have been in a bad accident.,0.0,legal,1,"доставити когось до лікарні, якщо він потрапив у важку аварію.","Якщо він потрапив у важку аварію, доставити когось до лікарні.","Якщо він потрапив у важку аварію, доставити когось до лікарні."
rocstories,4.0,morality-ethics|social-norms,care-harm|loyalty-betrayal,You shouldn't,taking someone's things without permission.,-1.0,illegal,0,брати чужі речі без дозволу.,Без дозволу брати чужі речі.,Без дозволу брати чужі речі.
rocstories,4.0,morality-ethics,care-harm,It is ok,taking someones keys if they are intoxicated.,0.0,legal,1,"забирати у когось ключі, якщо він перебуває у стані алкогольного сп'яніння.","Якщо він перебуває у стані алкогольного сп'яніння, забирати у когось ключі.","Якщо він перебуває у стані алкогольного сп'яніння, забирати у когось ключі."
amitheasshole,4.0,morality-ethics|social-norms,care-harm|fairness-cheating,It's rude,taking something from someone who has less than you.,-2.0,illegal,0,"брати щось у того, хто має менше, ніж ти.","брати щось у того, хто має менше, ніж ти.","брати щось у того, хто має менше, ніж ти."
confessions,4.0,advice|description,care-harm,it's kind,taking the happiness of others into account when doing something,1.0,legal,2,"брати до уваги щастя інших, коли робиш щось","Коли робиш щось, брати до уваги щастя інших","Коли робиш щось, брати до уваги щастя інших"
confessions,4.0,advice,care-harm,You should,taking the time out for others to talk to you.,1.0,legal,2,"знаходити час, щоб інші могли поговорити з вами.","Вибір часу, щоб інші могли поговорити з вами.","Вибір часу, щоб інші могли поговорити з вами."
rocstories,4.0,morality-ethics,care-harm,It's understandable,taking time to accept someone's death.,0.0,legal,1,"потрібен час, щоб прийняти чиюсь смерть.","Потрібен час, щоб прийняти чиюсь смерть.","Потрібен час, щоб прийняти чиюсь смерть."
dearabby,4.0,advice,care-harm,important,taking your child's night terrors seriously.,1.0,legal,2,сприймати нічні жахи вашої дитини серйозно.,Сприймати нічні жахи вашої дитини серйозно.,Сприймати нічні жахи вашої дитини серйозно.
amitheasshole,4.0,advice,care-harm,it's important,taking your education seriously.,0.0,legal,1,серйозно ставитися до своєї освіти.,Серйозно ставитися до своєї освіти.,Серйозно ставитися до своєї освіти.
rocstories,4.0,advice|description,care-harm|loyalty-betrayal,It's nice,taking your family on vacation.,1.0,legal,2,взяти сім'ю у відпустку.,Взяти сім'ю у відпустку.,Взяти сім'ю у відпустку.
amitheasshole,4.0,morality-ethics|description,care-harm|loyalty-betrayal,You shouldn't,taking your friends to drug houses.,-2.0,illegal,0,приводити друзів до наркопритонів.,Приводити друзів до наркопритонів.,Приводити друзів до наркопритонів.
rocstories,4.0,advice,care-harm,is good,taking your kids places.,1.0,legal,2,возити своїх дітей в різні місця.,Возити своїх дітей в різні місця.,Возити своїх дітей у різні місця.
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's fun,taking your kids to Disney World.,1.0,legal,2,відвезти дітей до Діснейленду.,Відвезти дітей до Діснейленду.,Відвезти дітей до Діснейленду.
confessions,4.0,morality-ethics,care-harm,It's wrong,taking your life.,-2.0,illegal,0,забрати твоє життя.,Забрати твоє життя.,Забрати твоє життя.
confessions,4.0,morality-ethics|social-norms,care-harm,expected,taking your medication as prescribed,0.0,legal,1,приймати ліки за призначенням лікаря,Приймаючи ліки за призначенням лікаря,Приймаючи ліки за призначенням лікаря
rocstories,4.0,morality-ethics|social-norms,care-harm|sanctity-degradation,should,taking your medicine as directed.,0.0,legal,1,приймати ліки за інструкцією.,Приймайте ліки за інструкцією.,Приймайте ліки за інструкцією.
rocstories,4.0,social-norms|advice,care-harm|loyalty-betrayal,it's good,taking your partner out places.,1.0,legal,2,виводячи свого партнера в різні місця.,Виводячи свого партнера в різні місця.,Виводячи свого партнера в різні місця.
rocstories,4.0,morality-ethics|advice,care-harm,You should,taking your pet to the vet if they are sick or injured.,2.0,legal,2,"відвозити улюбленця до ветеринара, якщо він захворів або отримав травму.","Якщо улюбленець захворів або отримав травму, відвозити його до ветеринара.","Якщо улюбленець захворів або отримав травму, відвозити його до ветеринара."
dearabby,4.0,social-norms,care-harm,it's okay,taking your time mourning.,0.0,legal,1,не поспішаючи з трауром.,Не поспішаючи з трауром.,Не поспішаючи з трауром.
amitheasshole,4.0,social-norms,care-harm,it's rude,talking about others behind their back.,-1.0,legal,0,обговорювати інших за їхніми спинами.,Обговорювати інших за їхніми спинами.,Обговорювати інших за їхніми спинами.
confessions,4.0,advice,care-harm,It's good,talking about your feelings,1.0,legal,2,говорити про свої почуття,Говорити про свої почуття,Говорити про свої почуття
amitheasshole,4.0,social-norms,care-harm|loyalty-betrayal,It is rude,talking behind someone else's back.,-1.0,legal,0,розмовляти за чужою спиною.,Розмовляти за чужою спиною.,Розмовляти за чужою спиною.
confessions,4.0,advice,care-harm,good,talking how you feel.,1.0,legal,2,"говорити про те, що ти відчуваєш.","Говорити про те, що ти відчуваєш.","Говорити про те, що ти відчуваєш."
amitheasshole,4.0,social-norms,care-harm,It's not polite,talking loudly in a movie theater.,-1.0,legal,0,голосно розмовляти в кінотеатрі.,Голосно розмовляти в кінотеатрі.,Голосно розмовляти в кінотеатрі.
amitheasshole,4.0,morality-ethics,care-harm,It's good,talking openly about your feelings when in a relationship.,0.0,legal,1,відкрито говорити про свої почуття у стосунках.,відкрито говорити про свої почуття у стосунках.,відкрито говорити про свої почуття у стосунках.
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,You shouldn't,talking shit about people behind their backs.,-2.0,legal,0,говорити лайно про людей за їхніми спинами.,Говорити лайно про людей за їхніми спинами.,Говорити лайно про людей за їхніми спинами.
amitheasshole,4.0,morality-ethics|advice,care-harm,shouldn't,talking shit about people.,-2.0,legal,0,говорити про людей всяке лайно.,Говорити про людей всяке лайно.,Говорити про людей всяке лайно.
confessions,4.0,advice,care-harm,It's good,talking through disagreements with others,1.0,legal,2,обговорювати розбіжності з іншими,Обговорювати розбіжності з іншими,Обговорювати розбіжності з іншими
confessions,4.0,advice,care-harm|loyalty-betrayal,it is good,talking through family problems,1.0,legal,2,обговорення сімейних проблем,Обговорення сімейних проблем,Обговорення сімейних проблем
dearabby,4.0,morality-ethics|advice,care-harm|loyalty-betrayal,It is good,talking through family problems.,1.0,legal,2,розмови про сімейні проблеми.,Розмови про сімейні проблеми.,Розмови про сімейні проблеми.
confessions,4.0,advice,care-harm,it's good,talking through relationship problems,0.0,legal,1,обговорення проблем у стосунках,Обговорення проблем у стосунках,Обговорення проблем у стосунках
rocstories,4.0,advice,care-harm,It is good,talking to a doctor if you have difficult pregnancies.,1.0,legal,2,"поговорити з лікарем, якщо у вас складна вагітність.","Якщо у вас складна вагітність, поговоріть з лікарем.","Якщо у вас складна вагітність, поговоріть з лікарем."
confessions,4.0,advice,care-harm,You should,talking to a doctor when you can't control your eating,0.0,legal,1,"розмова з лікарем, коли ви не можете контролювати своє харчування","Розмова з лікарем, коли ви не можете контролювати своє харчування","Розмова з лікарем, коли ви не можете контролювати своє харчування"
confessions,4.0,advice,care-harm,It's good,talking to get help if you feel suicidal,2.0,legal,2,"звернутися по допомогу, якщо ви відчуваєте суїцидальні настрої","Звернутися по допомогу, якщо ви відчуваєте суїцидальні настрої","Звернутися по допомогу, якщо ви відчуваєте суїцидальні настрої"
rocstories,4.0,social-norms|advice,care-harm,It's good,talking to someone going through a medical trauma.,1.0,legal,2,"розмова з людиною, яка переживає медичну травму.","Розмова з людиною, яка переживає медичну травму.","Розмова з людиною, яка переживає медичну травму."
confessions,4.0,advice,care-harm|loyalty-betrayal,you should,talking to someone when you feel angry.,1.0,legal,2,"розмовляти з кимось, коли ти злишся.","Розмовляти з кимось, коли ти злишся.","Розмовляти з кимось, коли ти злишся."
confessions,4.0,advice,care-harm,You should,talking to someone when you have flashbacks after 5 years.,1.0,legal,2,"розмовляти з кимось, коли через 5 років у тебе з'являються спогади.","Розмовляти з кимось, коли через 5 років у тебе з'являються спогади.","Розмовляти з кимось, коли через 5 років у тебе з'являються спогади."
rocstories,4.0,advice,care-harm,It is good,talking to your doctor when you hurt your knee.,1.0,legal,2,"розмова з лікарем, коли ви пошкодили коліно.","Розмова з лікарем, коли ви пошкодили коліно.","Розмова з лікарем, коли ви пошкодили коліно."
amitheasshole,4.0,morality-ethics|advice,care-harm,It is good,talking to your friend if you think they are acting crazy and need to seek help.,1.0,legal,2,"поговорити зі своїм другом, якщо ви вважаєте, що він поводиться ненормально і потребує допомоги.","Поговорити зі своїм другом, якщо ви вважаєте, що він поводиться ненормально і потребує допомоги.","Поговорити зі своїм другом, якщо ви вважаєте, що він поводиться ненормально і потребує допомоги."
confessions,4.0,advice,care-harm,should,talking to your friends when you feel sad.,1.0,legal,2,"розмовляти з друзями, коли вам сумно.","Розмовляти з друзями, коли вам сумно.","Розмовляти з друзями, коли вам сумно."
amitheasshole,4.0,advice,care-harm,should,talking to your partner about things that bother you.,0.0,legal,1,"говорити з партнером про те, що вас турбує.","Говорити з партнером про те, що вас турбує.","Говорити з партнером про те, що вас турбує."
dearabby,4.0,social-norms|advice,care-harm|loyalty-betrayal,You should,talking to your partner in order to maintain a strong relationship.,1.0,legal,2,"розмовляти зі своїм партнером, щоб підтримувати міцні стосунки.","Розмовляти зі своїм партнером, щоб підтримувати міцні стосунки.","Розмовляти зі своїм партнером, щоб підтримувати міцні стосунки."
dearabby,4.0,social-norms|advice,care-harm|sanctity-degradation,you should,talking to your partner when they are growing distant,2.0,legal,2,"розмовляти зі своїм партнером, коли вони віддаляються один від одного","Розмовляти зі своїм партнером, коли вони віддаляються один від одного","Розмовляти зі своїм партнером, коли вони віддаляються один від одного"
amitheasshole,4.0,social-norms|advice,care-harm|loyalty-betrayal,It's fine,talking to your significant other about important steps in your relationship.,0.0,legal,1,говорити зі своєю другою половинкою про важливі кроки у ваших стосунках.,Говорити зі своєю другою половинкою про важливі кроки у ваших стосунках.,Говорити зі своєю другою половинкою про важливі кроки у ваших стосунках.
confessions,4.0,morality-ethics,care-harm,good,talking with friends through problems.,1.0,legal,2,розмовляти з друзями про проблеми.,Розмовляти з друзями про проблеми.,Розмовляти з друзями про проблеми.
amitheasshole,4.0,social-norms,care-harm,Its expected,teaching children what may happen after they do something,0.0,legal,1,"навчати дітей, що може статися після того, як вони щось зроблять","Навчаючи дітей, що може статися після того, як вони щось зроблять","Навчаючи дітей, що може статися після того, як вони щось зроблять"
rocstories,4.0,advice,care-harm|loyalty-betrayal,It's good,teaching your child how to ride a bike.,1.0,legal,2,навчити дитину їздити на велосипеді.,Навчити дитину їздити на велосипеді.,Навчити дитину їздити на велосипеді.
rocstories,4.0,morality-ethics,care-harm,It's good,teaching your kids a lesson,0.0,legal,1,викладати дітям урок,викладати дітям урок,викладати дітям урок
amitheasshole,4.0,description,care-harm,it's good,teaching your kids a second language if you know it.,1.0,legal,2,"навчати дітей другої мови, якщо ви її знаєте.","Якщо ви її знаєте, навчати дітей другої мови.","Якщо ви її знаєте, навчати дітей другої мови."
rocstories,4.0,morality-ethics,care-harm,It's good,teaching your kids life lessons.,1.0,legal,2,викладати своїм дітям життєві уроки.,Викладати своїм дітям життєві уроки.,Викладати своїм дітям життєві уроки.
confessions,4.0,advice,care-harm,acceptable,tearing paper into shreds if it calms your nerves.,0.0,legal,1,"рвати папір на клапті, якщо це заспокоює нерви.","Ривати папір на клапті, якщо це заспокоює нерви.","Ривати папір на клапті, якщо це заспокоює нерви."
confessions,4.0,morality-ethics,care-harm,It's wrong,teasing children and enjoying it.,-1.0,legal,0,дражнити дітей і отримувати від цього задоволення.,Дражнити дітей і отримувати від цього задоволення.,Дражнити дітей і отримувати від цього задоволення.
amitheasshole,4.0,morality-ethics,care-harm|authority-subversion,it's bad,teasing your child for dropping out of school.,-1.0,legal,0,"дражнити дитину за те, що вона кинула школу.","Дражнити дитину за те, що вона кинула школу.","Дражнити дитину за те, що вона кинула школу."
dearabby,4.0,morality-ethics,care-harm,it's rude,telling a child you don't care for them.,-1.0,legal,0,"говорити дитині, що вона вам байдужа.","Говорити дитині, що вона вам байдужа.","Говорити дитині, що вона вам байдужа."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,you should,telling a friend If you no longer plan to live with,1.0,legal,2,"сказати другу, якщо ви більше не плануєте жити з ним","Якщо ви більше не плануєте жити з ним, сказати другу","Якщо ви більше не плануєте жити з ним, сказати другу"
amitheasshole,4.0,advice,care-harm,it's important,telling a friend something they need to hear for their own security,1.0,legal,2,"розповісти другу щось, що він повинен почути для власної безпеки","Розповідати другу щось, що він повинен почути для власної безпеки","Розповідати другу щось, що він повинен почути для власної безпеки"
confessions,4.0,advice,care-harm,It is good,telling an adult immediately when someone tries to suffocate you.,1.0,legal,2,"негайно повідомляти дорослим, якщо хтось намагається вас задушити.","Якщо хтось намагається вас задушити, негайно повідомляти дорослим.","Якщо хтось намагається вас задушити, негайно повідомляти дорослим."
amitheasshole,4.0,morality-ethics,care-harm|loyalty-betrayal,it's rude,telling off your mom,-1.0,legal,0,сварити свою матір.,Сварити свою матір.,Сварити свою матір.
amitheasshole,4.0,advice,care-harm|authority-subversion,okay,telling others how you feel.,0.0,legal,1,"розповідати іншим про те, що ти відчуваєш.","Розповідати іншим про те, що ти відчуваєш.","Розповідати іншим про те, що ти відчуваєш."
amitheasshole,4.0,morality-ethics,care-harm,It's mean,telling others to shut up.,-1.0,legal,0,кажучи іншим замовкнути.,"Кажучи іншим, замовкнути.","Кажучи іншим, замовкнути."
rocstories,4.0,social-norms|advice,care-harm,It's allowed,telling others you're feeling anxious.,0.0,legal,1,"говорити іншим, що ви відчуваєте тривогу.","Говорити іншим, що ви відчуваєте тривогу.","Говорити іншим, що ви відчуваєте тривогу."
